debtor_nik,debtor_name,debtor_gender,debtor_birth_place,debtor_age,debtor_address,debtor_zip,debtor_rt,debtor_rw,debtor_marital_status,debtor_occupation,debtor_company,debtor_number
6562727714088626,"Cut Nilam Simbolon, S.H.",perempuan,"Jawa Timur, 04-07-1969",54,"Gang Rajiman No. 723
Bukittinggi, Kalimantan Utara 96498",96498,17,20,Cerai mati,Buruh,PD Januar,+62 (031) 592 1352
9510597330048495,Galur Tarihoran,perempuan,"DKI Jakarta, 15-06-1988",35,"Jl. Rajawali Barat No. 6
Sukabumi, KU 21852",21852,6,2,Cerai hidup,Buruh,UD Ramadan Lestari Tbk,+62-087-038-9524
8967634028499286,Eli Namaga,perempuan,"Gorontalo, 06-10-1984",39,"Jl. Joyoboyo No. 918
Tasikmalaya, SN 76602",76602,7,11,Menikah,Pengusaha,UD Permadi,+62 (05) 799-3277
4089510382510588,"Respati Firmansyah, S.H.",perempuan,"Sumatera Utara, 07-10-1999",24,"Jalan Kiaracondong No. 0
Binjai, NT 59829",59829,17,17,Cerai mati,Pegawai Swasta,PT Januar (Persero) Tbk,+62 (0451) 139-5625
9786358461078959,Kartika Wastuti,laki-laki,"Kalimantan Tengah, 29-03-1978",45,"Gang Rungkut Industri No. 496
Palangkaraya, KR 05216",05216,1,2,Cerai hidup,Profesional,Perum Anggriawan Sudiati Tbk,+62 (011) 016-4831
7318881861725548,Kani Sinaga,laki-laki,"Nusa Tenggara Timur, 24-01-1983",40,"Gang Yos Sudarso No. 73
Metro, Sumatera Selatan 30516",30516,1,10,Cerai hidup,Profesional,PT Uyainah,+62 (0053) 365 9177
5371897627377244,"Daliono Puspasari, S.T.",laki-laki,"Papua Barat, 28-11-1975",48,"Jl. Jayawijaya No. 35
Lubuklinggau, JI 53172",53172,15,15,Belum menikah,Pegawai Swasta,UD Megantara Habibi (Persero) Tbk,+62-17-143-5069
8265551544072497,Ir. Gaman Gunawan,laki-laki,"Maluku Utara, 12-01-1968",55,"Jl. Jakarta No. 8
Dumai, KU 65373",65373,19,12,Cerai hidup,Profesional,PT Usamah,+62 (0889) 176-1435
6454805292631898,Tgk. Amelia Hardiansyah,perempuan,"Banten, 01-01-1963",60,"Gang Dipatiukur No. 00
Tarakan, Papua Barat 18359",18359,5,19,Menikah,Profesional,UD Napitupulu Nasyiah Tbk,+62-0304-335-3495
9252897059366699,Kamila Marpaung,laki-laki,"Papua, 17-08-1973",50,"Gang Asia Afrika No. 825
Tanjungbalai, Sulawesi Barat 56465",56465,1,19,Belum menikah,Buruh,PT Prabowo Usamah Tbk,+62 (29) 141 5646
7519650775165435,Bahuraksa Rahimah,laki-laki,"Bengkulu, 05-02-1964",59,"Jalan Kutisari Selatan No. 29
Yogyakarta, Kalimantan Selatan 82560",82560,9,13,Cerai mati,Buruh,CV Rajata,+62 (100) 017 8416
2436396704364731,"T. Damu Putra, S.Pt",perempuan,"Jawa Tengah, 08-10-1997",26,"Jl. Dipenogoro No. 481
Langsa, PA 13831",13831,17,8,Menikah,Buruh,PD Permata Puspasari,+62 (38) 007 1760
1578515700278651,"Dt. Bancar Laksita, S.I.Kom",perempuan,"Kalimantan Barat, 18-03-1977",46,"Gg. Pelajar Pejuang No. 13
Pematangsiantar, JK 90147",90147,16,15,Cerai hidup,Pengusaha,PT Pradana Budiyanto Tbk,+62-006-935-4969
6120549722824829,"H. Prabowo Puspita, S.IP",perempuan,"Papua, 30-05-1996",27,"Gg. Gedebage Selatan No. 473
Kediri, BT 19472",19472,11,1,Belum menikah,Pengusaha,PT Prakasa Budiyanto Tbk,+62-40-905-1906
5984348721186623,Salimah Tarihoran,perempuan,"Sulawesi Barat, 07-06-1991",32,"Gg. Ahmad Yani No. 75
Gorontalo, Bengkulu 78283",78283,17,8,Menikah,Pengusaha,CV Saputra Saragih,+62 (76) 205-9000
6512783522736873,"Jarwa Suartini, S.T.",laki-laki,"Kalimantan Tengah, 30-06-1989",34,"Gang Raya Ujungberung No. 734
Pagaralam, SB 60077",60077,20,6,Belum menikah,Pengusaha,PD Prastuti (Persero) Tbk,+62 (059) 485 1802
2135101076052689,Kenari Uyainah,perempuan,"Sulawesi Tenggara, 22-09-1996",27,"Gg. HOS. Cokroaminoto No. 76
Malang, KB 05689",05689,13,12,Belum menikah,Pegawai Negeri,PT Sitorus (Persero) Tbk,+62 (0657) 955-7570
8335222605184011,Zalindra Mustofa,laki-laki,"Nusa Tenggara Barat, 01-06-1994",29,"Jl. Cikutra Timur No. 1
Blitar, PA 08164",08164,15,19,Cerai mati,Profesional,UD Rahimah,+62 (0364) 672 8454
4268142379572947,dr. Jaga Santoso,perempuan,"Kalimantan Selatan, 10-08-1989",34,"Gang Laswi No. 549
Kota Administrasi Jakarta Pusat, Bengkulu 27778",27778,4,11,Cerai mati,Pegawai Swasta,Perum Hidayanto Prasetyo Tbk,+62 (476) 214-4218
2123296655970932,"Lanang Habibi, S.Pd",perempuan,"Sulawesi Tenggara, 21-06-1965",58,"Gang Soekarno Hatta No. 461
Pariaman, NB 30138",30138,12,10,Belum menikah,Buruh,PT Pradana Nainggolan,+62 (0119) 232 3985
7078924966167884,"Garang Sitompul, S.I.Kom",perempuan,"Jambi, 03-05-1974",49,"Jalan Sukabumi No. 850
Yogyakarta, SU 40722",40722,8,1,Belum menikah,Profesional,Perum Habibi Tbk,+62 (0082) 058-6413
5816586382948294,Tgk. Siska Saputra,perempuan,"Sumatera Selatan, 27-02-1986",37,"Gang Lembong No. 49
Tual, Sulawesi Utara 20196",20196,11,20,Menikah,Buruh,UD Padmasari,+62 (0548) 379 4861
4509297928410897,Among Sihotang,laki-laki,"Papua, 21-03-1962",61,"Gg. Stasiun Wonokromo No. 29
Tidore Kepulauan, DI Yogyakarta 08669",08669,11,12,Menikah,Profesional,CV Hastuti Waskita Tbk,+62 (098) 970 3865
7219869693547743,"Hartana Suryono, S.Gz",perempuan,"Jambi, 06-09-1967",56,"Jl. Pelajar Pejuang No. 13
Sabang, SN 95603",95603,14,3,Menikah,Profesional,PD Pratama Halim,+62 (0191) 887-7959
1025618457483132,Kania Haryanti,perempuan,"DI Yogyakarta, 16-04-1992",31,"Jl. Ir. H. Djuanda No. 24
Lhokseumawe, SN 21935",21935,10,10,Cerai hidup,Pegawai Negeri,PT Sudiati Sudiati,+62 (065) 117-6097
7975597010664374,"Joko Tampubolon, S.Psi",laki-laki,"Sulawesi Barat, 09-07-1988",35,"Gg. H.J Maemunah No. 35
Tanjungbalai, Lampung 92214",92214,11,8,Menikah,Buruh,UD Anggriawan (Persero) Tbk,+62 (66) 574-1944
6385177509551766,Tina Suartini,perempuan,"Kalimantan Barat, 30-07-1969",54,"Jl. Monginsidi No. 9
Sungai Penuh, Riau 58925",58925,16,6,Menikah,Pegawai Swasta,PD Sitorus Simanjuntak,+62 (076) 067 9489
8603619197205843,Ir. Ida Wibisono,perempuan,"Kalimantan Tengah, 11-08-1997",26,"Jl. Pasir Koja No. 8
Ternate, Jawa Barat 53252",53252,17,15,Belum menikah,Pegawai Swasta,CV Suartini Pranowo Tbk,+62 (131) 807 9086
5803095020482133,Soleh Mustofa,perempuan,"Aceh, 03-05-1980",43,"Gang Lembong No. 968
Balikpapan, GO 25444",25444,15,13,Cerai hidup,Pegawai Negeri,UD Halim Nuraini (Persero) Tbk,+62 (015) 858 1155
7406189333273434,"Yessi Thamrin, S.E.",laki-laki,"Papua Barat, 17-06-1996",27,"Jl. Moch. Ramdan No. 69
Dumai, JA 13288",13288,6,11,Cerai mati,Pengusaha,CV Nashiruddin Manullang (Persero) Tbk,+62 (411) 086 3714
8316214771877804,Mustofa Palastri,laki-laki,"Kalimantan Utara, 05-03-1970",53,"Gg. Cihampelas No. 52
Langsa, NT 54833",54833,11,7,Menikah,Pegawai Swasta,UD Pratiwi Pradipta,+62 (80) 325 8840
5037049423786824,"Hilda Widiastuti, S.Pt",perempuan,"Kepulauan Bangka Belitung, 17-11-1992",31,"Gg. Indragiri No. 133
Kota Administrasi Jakarta Barat, Papua Barat 97413",97413,13,12,Belum menikah,Pengusaha,CV Melani Purnawati,+62-13-479-0986
7984818919556660,Ibrahim Firmansyah,laki-laki,"Jawa Timur, 08-06-1994",29,"Jalan Jayawijaya No. 16
Prabumulih, Maluku Utara 75263",75263,17,7,Belum menikah,Buruh,Perum Padmasari Saputra,+62-29-670-2515
6350331674136334,Sabrina Zulaika,perempuan,"Gorontalo, 19-09-1966",57,"Gang R.E Martadinata No. 8
Pariaman, Papua 91291",91291,6,17,Cerai hidup,Pengusaha,CV Purnawati,+62 (02) 785-1261
5742679577866396,Salimah Lestari,laki-laki,"Sulawesi Tengah, 22-08-1990",33,"Gg. Jend. Sudirman No. 8
Sawahlunto, Sumatera Utara 87368",87368,13,7,Cerai mati,Pengusaha,UD Puspita,+62 (27) 356-1092
5489854389589191,Salsabila Nababan,perempuan,"Aceh, 22-07-1996",27,"Jalan Bangka Raya No. 5
Palopo, Jawa Timur 64970",64970,7,13,Cerai hidup,Pengusaha,PD Nasyiah Novitasari Tbk,+62 (0725) 134-7237
3327429592998011,Yuni Sihombing,laki-laki,"Sumatera Barat, 21-10-1976",47,"Jalan Ciumbuleuit No. 31
Tegal, Kalimantan Utara 73252",73252,12,18,Belum menikah,Profesional,PD Saputra,+62 (44) 160-2078
4485143554733245,Eka Marbun,perempuan,"Kepulauan Riau, 16-11-1969",54,"Jl. Pacuan Kuda No. 05
Pariaman, BT 41144",41144,10,3,Cerai mati,Pegawai Swasta,PD Latupono Hutapea (Persero) Tbk,+62-328-087-1267
7077899665233254,Jagaraga Hardiansyah,perempuan,"Bengkulu, 14-07-1981",42,"Jalan Kapten Muslihat No. 447
Kotamobagu, SU 82534",82534,17,17,Cerai hidup,Buruh,CV Pangestu Hidayanto,+62 (0569) 202 5656
8393538880600376,Danuja Tampubolon,laki-laki,"Sulawesi Selatan, 17-09-1983",40,"Gg. Rajawali Barat No. 0
Yogyakarta, SU 09295",09295,14,10,Belum menikah,Profesional,PT Dongoran Mansur (Persero) Tbk,+62-0499-091-4588
2297421563335561,Zulaikha Wahyudin,laki-laki,"Jawa Tengah, 22-04-1965",58,"Jalan R.E Martadinata No. 2
Kota Administrasi Jakarta Pusat, JA 55404",55404,11,1,Cerai mati,Pegawai Swasta,PT Kusmawati Rahmawati Tbk,+62-050-894-2334
3486642267039591,Kenes Lestari,laki-laki,"Maluku, 03-09-1979",44,"Jalan Jend. Sudirman No. 71
Tangerang Selatan, JB 83545",83545,14,18,Cerai mati,Pegawai Swasta,PT Marpaung Tbk,+62-533-838-9370
9796438067686348,Tgk. Lasmanto Maulana,perempuan,"Sumatera Barat, 13-03-1960",63,"Gang Kapten Muslihat No. 531
Makassar, PB 45959",45959,1,3,Belum menikah,Pegawai Negeri,PT Mandasari Tbk,+62 (0088) 620-7201
2799300546741350,Lintang Mandasari,laki-laki,"Kalimantan Timur, 28-11-1998",25,"Gang Jend. Sudirman No. 30
Tual, Sulawesi Tengah 59893",59893,3,2,Cerai mati,Pengusaha,Perum Aryani Puspita Tbk,+62-0373-968-5726
8147585582880759,Rini Siregar,perempuan,"Jawa Barat, 20-03-1999",24,"Jl. Indragiri No. 494
Batu, Riau 18086",18086,3,3,Cerai mati,Pegawai Negeri,UD Permata Tbk,+62 (042) 814-8476
2997806210437057,Yoga Kusmawati,perempuan,"Papua, 23-04-1997",26,"Jl. Jakarta No. 79
Tomohon, SU 08729",08729,9,18,Cerai hidup,Pengusaha,Perum Haryanti Tbk,+62-619-954-7007
5064562509078584,Najib Lestari,laki-laki,"Jawa Timur, 11-05-2000",23,"Jl. Rajawali Timur No. 352
Samarinda, Sulawesi Selatan 60072",60072,5,20,Cerai hidup,Pengusaha,PT Budiyanto Prastuti,+62 (88) 419 3270
9972933125778219,Dt. Jamil Tarihoran,laki-laki,"Bengkulu, 24-07-1988",35,"Gang Indragiri No. 2
Tangerang Selatan, SU 96758",96758,4,13,Menikah,Pegawai Swasta,PT Maulana Tbk,+62 (0622) 531 4107
9552729303331248,"Daruna Winarno, M.TI.",laki-laki,"Maluku, 18-09-1972",51,"Jalan Ahmad Dahlan No. 4
Depok, Kalimantan Utara 02074",02074,17,13,Belum menikah,Pegawai Negeri,CV Budiman Rahayu (Persero) Tbk,+62 (035) 466 8668
2838059154927429,Puti Iriana Pradana,perempuan,"Bali, 27-01-1981",42,"Jalan Ciumbuleuit No. 42
Balikpapan, JB 86569",86569,16,20,Cerai hidup,Buruh,Perum Namaga,+62-87-527-2972
7088107621596918,Drs. Kezia Pratiwi,laki-laki,"Jawa Barat, 10-02-1995",28,"Jalan Ahmad Dahlan No. 9
Kota Administrasi Jakarta Selatan, BE 57039",57039,6,15,Menikah,Buruh,CV Nasyidah,+62-025-387-4965
9856442981822894,Cici Mahendra,perempuan,"Bengkulu, 01-01-1964",59,"Jalan Ciwastra No. 5
Gorontalo, Maluku 31485",31485,17,19,Cerai hidup,Pengusaha,UD Purwanti,+62 (35) 708 0335
9210077542691376,Ulva Dabukke,laki-laki,"Jambi, 05-07-1972",51,"Gg. Jayawijaya No. 166
Manado, Bali 44850",44850,14,15,Cerai hidup,Profesional,PT Nasyidah Hidayat,+62 (863) 557 0887
6413717379245003,Satya Mulyani,perempuan,"Sulawesi Selatan, 30-04-1974",49,"Jalan H.J Maemunah No. 732
Pekalongan, Sulawesi Selatan 57012",57012,4,11,Cerai hidup,Buruh,CV Aryani (Persero) Tbk,+62 (045) 440-8324
3308596532344599,"Darijan Santoso, M.TI.",laki-laki,"Jawa Barat, 28-02-1984",39,"Jalan Dr. Djunjunan No. 8
Bitung, KS 73824",73824,18,3,Cerai mati,Pegawai Swasta,CV Uwais Namaga (Persero) Tbk,+62-496-505-1113
3569498778316919,Umi Mustofa,perempuan,"Maluku, 25-02-1993",30,"Gg. Setiabudhi No. 293
Solok, ST 42149",42149,20,16,Cerai hidup,Pegawai Negeri,PD Wastuti,+62 (60) 723-5688
5301577949295458,Sutan Bagus Kusumo,perempuan,"Kalimantan Utara, 17-12-1979",44,"Jalan Yos Sudarso No. 493
Palangkaraya, Bengkulu 26938",26938,5,13,Cerai hidup,Pengusaha,CV Rajata Laksita Tbk,+62 (339) 661-6698
8188948409919548,Ayu Waskita,perempuan,"Kalimantan Timur, 17-08-1962",61,"Jalan M.T Haryono No. 6
Parepare, BB 63719",63719,4,1,Belum menikah,Pegawai Swasta,PT Manullang Adriansyah (Persero) Tbk,+62 (013) 303-4515
5014573626595264,R. Adikara Hastuti,laki-laki,"Jawa Timur, 30-11-1967",56,"Jalan Jend. A. Yani No. 70
Salatiga, ST 74381",74381,5,20,Belum menikah,Pegawai Swasta,Perum Sinaga Winarno Tbk,+62 (142) 018-1125
4385067988401040,Fitriani Andriani,laki-laki,"DKI Jakarta, 06-12-1985",38,"Jl. Laswi No. 96
Ambon, NB 67771",67771,20,1,Cerai mati,Buruh,PT Pranowo Saragih Tbk,+62 (091) 051-2017
7476417958836697,Eka Puspita,laki-laki,"Nusa Tenggara Barat, 19-10-1993",30,"Gg. Pasir Koja No. 44
Tegal, Kepulauan Riau 40202",40202,18,2,Cerai mati,Buruh,Perum Wijaya,+62-852-034-4605
3025408102433495,Citra Mulyani,perempuan,"Banten, 17-10-1968",55,"Jalan Merdeka No. 58
Serang, SU 70995",70995,2,13,Cerai hidup,Pengusaha,CV Sitompul Tbk,+62 (075) 445-9915
9299973956068048,dr. Candra Zulkarnain,laki-laki,"Papua Barat, 11-01-1995",28,"Jalan Gegerkalong Hilir No. 7
Bekasi, JT 16297",16297,7,4,Belum menikah,Pegawai Swasta,UD Mandala Dongoran Tbk,+62 (987) 588-3711
3724599895163929,"Nadine Hakim, M.M.",laki-laki,"DI Yogyakarta, 21-05-1968",55,"Gg. Yos Sudarso No. 82
Tangerang Selatan, Papua Barat 25779",25779,4,4,Cerai hidup,Pegawai Negeri,CV Rajasa (Persero) Tbk,+62 (0440) 669-0924
9737208259676412,Nyana Farida,perempuan,"Kepulauan Bangka Belitung, 31-01-1998",25,"Gg. Gardujati No. 686
Payakumbuh, Kalimantan Timur 53420",53420,14,15,Cerai hidup,Buruh,Perum Zulaika Gunawan,+62-222-235-1542
4542572635799681,"Hj. Hani Prasasta, S.Farm",laki-laki,"Kalimantan Selatan, 15-01-1982",41,"Gang BKR No. 32
Cirebon, Kalimantan Barat 65017",65017,17,5,Belum menikah,Pegawai Swasta,CV Mahendra (Persero) Tbk,+62-72-873-6908
2333329503200140,Siska Agustina,perempuan,"Kalimantan Timur, 22-02-1972",51,"Jl. Dr. Djunjunan No. 6
Kupang, SU 62373",62373,7,16,Cerai hidup,Profesional,UD Puspasari Hardiansyah Tbk,+62 (29) 143 0367
3533193549343292,Cinthia Ramadan,laki-laki,"Kalimantan Utara, 23-08-1975",48,"Gg. Cikutra Barat No. 20
Sabang, Papua 28172",28172,7,16,Cerai mati,Profesional,UD Mayasari Tbk,+62 (0871) 706 8772
7449010538055668,Ilsa Simbolon,laki-laki,"Kalimantan Tengah, 23-11-1993",30,"Jl. H.J Maemunah No. 7
Jambi, KB 72904",72904,16,5,Cerai hidup,Profesional,CV Simbolon Hutasoit,+62 (645) 771-9197
8041571935342238,Amelia Winarno,laki-laki,"Sumatera Barat, 27-12-1986",37,"Jalan Erlangga No. 23
Banjarbaru, Jawa Timur 52559",52559,4,14,Menikah,Pegawai Swasta,PD Maulana Prakasa Tbk,+62 (030) 716 7849
2568723124238472,Farah Melani,laki-laki,"Sulawesi Tenggara, 17-08-1994",29,"Gg. Kiaracondong No. 54
Mojokerto, Bali 83490",83490,13,15,Cerai hidup,Pegawai Negeri,UD Winarno Tbk,+62 (286) 435-9141
5522686759765555,"R. Ida Narpati, M.Kom.",perempuan,"Banten, 10-12-1967",56,"Jalan Siliwangi No. 029
Subulussalam, Nusa Tenggara Timur 07060",07060,17,17,Cerai mati,Pengusaha,CV Halim Gunarto,+62 (962) 425 0696
6634651677640447,Harimurti Napitupulu,perempuan,"Gorontalo, 20-08-1999",24,"Jalan Jayawijaya No. 34
Bogor, SR 65697",65697,19,17,Cerai mati,Profesional,CV Adriansyah Anggriawan (Persero) Tbk,+62 (024) 935 9361
5181257962668155,"R.A. Salsabila Widiastuti, S.Pd",perempuan,"DI Yogyakarta, 23-11-1974",49,"Gang Soekarno Hatta No. 74
Ternate, Papua 44438",44438,11,2,Belum menikah,Pegawai Swasta,PD Anggraini Widiastuti Tbk,+62 (0476) 028-7586
9772706831385356,"Tgk. Bala Mulyani, S.Sos",perempuan,"Kepulauan Riau, 06-12-1967",56,"Gang Raya Ujungberung No. 26
Padang, KB 13340",13340,10,19,Menikah,Pegawai Negeri,UD Andriani,+62 (082) 357-9427
3640822579049666,Fitria Budiyanto,perempuan,"Maluku Utara, 17-01-1976",47,"Jalan Lembong No. 61
Cilegon, Kalimantan Tengah 76565",76565,17,8,Menikah,Buruh,PT Winarno,+62-0668-191-9105
4118186211949172,Kayla Simanjuntak,laki-laki,"DKI Jakarta, 29-03-1968",55,"Jl. M.H Thamrin No. 7
Kota Administrasi Jakarta Timur, JT 56312",56312,19,11,Cerai hidup,Pengusaha,Perum Firmansyah Nababan (Persero) Tbk,+62-471-856-4892
2397571053971778,"Dr. Aurora Sinaga, S.Pt",laki-laki,"Sulawesi Barat, 14-07-1965",58,"Gang Dipenogoro No. 573
Sabang, SN 59159",59159,14,3,Cerai mati,Pegawai Swasta,PD Sitompul,+62-099-207-9009
4802301472676984,"Rini Wibisono, S.Sos",perempuan,"DI Yogyakarta, 22-01-1968",55,"Jl. Ronggowarsito No. 61
Magelang, Gorontalo 35118",35118,20,4,Cerai hidup,Buruh,Perum Megantara,+62-067-232-0838
4255602922903689,"Diah Haryanto, M.TI.",laki-laki,"Riau, 13-11-1992",31,"Jalan Ahmad Yani No. 020
Madiun, KI 25389",25389,5,6,Cerai hidup,Profesional,PD Wibowo Latupono Tbk,+62 (538) 325 4256
6184886575255396,"dr. Usyi Dabukke, S.E.I",laki-laki,"Nusa Tenggara Timur, 07-08-1999",24,"Gang Kebonjati No. 897
Bima, Kalimantan Timur 60747",60747,2,14,Belum menikah,Pengusaha,PT Agustina (Persero) Tbk,+62 (090) 932-6099
6219456155853194,"Gantar Siregar, S.Kom",laki-laki,"Sulawesi Tengah, 02-07-1987",36,"Jalan Tubagus Ismail No. 67
Banjarmasin, Jawa Tengah 94841",94841,14,12,Belum menikah,Buruh,Perum Wijayanti Halim,+62-0745-368-3582
6104610924397835,Garan Thamrin,laki-laki,"Kalimantan Selatan, 07-06-1973",50,"Gg. Kiaracondong No. 602
Tangerang, JB 89325",89325,19,7,Belum menikah,Pegawai Swasta,UD Kusumo Nasyidah Tbk,+62 (182) 535 4048
8750340398636012,dr. Cinthia Maheswara,laki-laki,"Sumatera Selatan, 29-11-1974",49,"Gang KH Amin Jasuta No. 8
Palopo, SU 14887",14887,7,12,Cerai hidup,Pegawai Swasta,UD Saptono Andriani,+62 (13) 701-3548
2693365888752491,Winda Suwarno,laki-laki,"Sumatera Barat, 22-07-1993",30,"Gg. Moch. Ramdan No. 414
Samarinda, Sulawesi Tenggara 95284",95284,17,7,Cerai mati,Buruh,PD Saptono Suryatmi,+62 (57) 700 7200
9389788482073642,Respati Lailasari,laki-laki,"Lampung, 31-03-1968",55,"Gg. BKR No. 46
Pasuruan, MU 60924",60924,10,1,Menikah,Pegawai Negeri,CV Lestari Rahayu,+62 (0006) 603-4193
